tweet_id,Retweets_count,Favorites_count,Date_time
750147208377409536,937,3047,2016-07-05 02:00:06
750132105863102464,1264,3550,2016-07-05 01:00:05
750117059602808832,1280,4260,2016-07-05 00:00:18
750101899009982464,824,2988,2016-07-04 23:00:03
750086836815486976,523,2130,2016-07-04 22:00:12
750071704093859840,3245,7697,2016-07-04 21:00:04
750056684286914561,880,3109,2016-07-04 20:00:23
750041628174217216,600,3113,2016-07-04 19:00:33
750026558547456000,769,2673,2016-07-04 18:00:41
750011400160841729,886,3183,2016-07-04 17:00:26
749996283729883136,801,3010,2016-07-04 16:00:22
749981277374128128,2413,5031,2016-07-04 15:00:45
749774190421639168,1298,4588,2016-07-04 01:17:51
749417653287129088,1612,5993,2016-07-03 01:41:06
749403093750648834,521,2570,2016-07-03 00:43:15
749395845976588288,3357,8409,2016-07-03 00:14:27
749317047558017024,2191,5395,2016-07-02 19:01:20
749075273010798592,2035,5657,2016-07-02 03:00:36
749064354620928000,1498,4719,2016-07-02 02:17:13
749036806121881602,776,3038,2016-07-02 00:27:45
748977405889503236,3321,10573,2016-07-01 20:31:43
748932637671223296,2195,5697,2016-07-01 17:33:49
748705597323898880,929,2731,2016-07-01 02:31:39
748699167502000129,1550,4665,2016-07-01 02:06:06
748692773788876800,1303,4175,2016-07-01 01:40:41
748575535303884801,1935,5950,2016-06-30 17:54:50
748568946752774144,658,2164,2016-06-30 17:28:39
748346686624440324,1208,5133,2016-06-30 02:45:28
748337862848962560,4009,7486,2016-06-30 02:10:24
748324050481647620,740,3620,2016-06-30 01:15:31
748307329658011649,697,3617,2016-06-30 00:09:04
748220828303695873,7595,13877,2016-06-29 18:25:21
747963614829678593,2091,5672,2016-06-29 01:23:16
747933425676525569,2489,6490,2016-06-28 23:23:19
747885874273214464,947,2882,2016-06-28 20:14:22
747844099428986880,731,2766,2016-06-28 17:28:22
747816857231626240,1131,4753,2016-06-28 15:40:07
747651430853525504,151,1355,2016-06-28 04:42:46
747648653817413632,5712,12638,2016-06-28 04:31:44
747600769478692864,548,2286,2016-06-28 01:21:27
747594051852075008,1034,3598,2016-06-28 00:54:46
747512671126323200,1576,5411,2016-06-27 19:31:23
747461612269887489,1022,3798,2016-06-27 16:08:30
747439450712596480,1869,5312,2016-06-27 14:40:26
747242308580548608,2841,0,2016-06-27 01:37:04
747219827526344708,1527,5152,2016-06-27 00:07:44
747204161125646336,892,3303,2016-06-26 23:05:29
747103485104099331,3861,9371,2016-06-26 16:25:26
746906459439529985,290,2850,2016-06-26 03:22:31
746872823977771008,2085,5864,2016-06-26 01:08:52
746818907684614144,1702,5221,2016-06-25 21:34:37
746790600704425984,1561,4772,2016-06-25 19:42:08
746757706116112384,3813,9379,2016-06-25 17:31:25
746726898085036033,1751,5923,2016-06-25 15:29:00
746542875601690625,1839,4936,2016-06-25 03:17:46
746521445350707200,960,0,2016-06-25 01:52:36
746507379341139972,1060,4566,2016-06-25 00:56:43
746369468511756288,1593,6068,2016-06-24 15:48:42
746131877086527488,2135,6769,2016-06-24 00:04:36
746056683365994496,792,3502,2016-06-23 19:05:49
745789745784041472,1039,3945,2016-06-23 01:25:06
745712589599014916,2274,6858,2016-06-22 20:18:30
745433870967832576,2480,6928,2016-06-22 01:50:58
745422732645535745,2368,8403,2016-06-22 01:06:43
745314880350101504,2688,7015,2016-06-21 17:58:09
745074613265149952,3391,7661,2016-06-21 02:03:25
745057283344719872,2188,7104,2016-06-21 00:54:33
744995568523612160,596,2915,2016-06-20 20:49:19
744971049620602880,2619,7715,2016-06-20 19:11:53
744709971296780288,1522,5486,2016-06-20 01:54:27
744334592493166593,2052,6641,2016-06-19 01:02:50
744234799360020481,75732,153002,2016-06-18 18:26:18
744223424764059648,353,1624,2016-06-18 17:41:06
743980027717509120,1068,4089,2016-06-18 01:33:55
743895849529389061,942,3582,2016-06-17 19:59:26
743835915802583040,2016,0,2016-06-17 16:01:16
743609206067040256,1348,4378,2016-06-17 01:00:24
743595368194129920,6352,17929,2016-06-17 00:05:25
743545585370791937,919,3454,2016-06-16 20:47:36
743510151680958465,3640,7758,2016-06-16 18:26:48
743253157753532416,1193,4138,2016-06-16 01:25:36
743222593470234624,1858,6065,2016-06-15 23:24:09
743210557239623680,1329,3759,2016-06-15 22:36:19
742534281772302336,3480,6910,2016-06-14 01:49:03
742528092657332225,1913,4314,2016-06-14 01:24:27
742465774154047488,3819,7108,2016-06-13 21:16:49
